name,gender,birthyear,namegender,usage,pctyb,rich,pctrank,richnum,french,english,biblical,unisex
Jonathan,m,1986,['Masculine'],"['English', 'French', 'German', 'Swedish', 'Norwegian', 'Danish', 'Dutch', 'Biblical']",0.0124756795797972000,Common,0.63000,0,1,1,1,0
Brian,m,1986,['Masculine'],"['English', 'Irish', 'Old Irish']",0.0109452948605403000,Common,0.59100,0,0,1,0,0
Quan,m,1986,"['Masculine', 'Feminine']","['Vietnamese', 'African American', 'Chinese', 'Vietnamese', 'Chinese', 'Chinese', 'Vietnamese', 'English']",0.0000156108607880674,Common,0.02400,0,0,1,0,1
Jamal,m,1986,['Masculine'],"['Arabic', 'African American']",0.0004199321551990150,Common,0.13400,0,0,0,0,0
Joseph,m,1986,['Masculine'],"['English', 'French', 'German', 'Biblical']",0.0150056797515167000,Common,0.68400,0,1,1,1,0
Andrew,m,1986,['Masculine'],"['English', 'Biblical']",0.0176210192955442000,Common,0.72200,0,0,1,1,0
Garrett,m,1986,['Masculine'],['English'],0.0012431448807564300,Common,0.22000,0,0,1,0,0
Ian,m,1986,['Masculine'],"['Scottish', 'English']",0.0019331449275890200,Common,0.27700,0,0,1,0,0
Anthony,m,1986,['Masculine'],['English'],0.0114255890107865000,Common,0.60100,0,0,1,0,0
Matthew,m,1986,['Masculine'],"['English', 'Biblical']",0.0244205898928002000,Common,0.77800,0,0,1,1,0
Leroy,m,1931,['Masculine'],['English'],0.0034101043035740600,Common,0.38300,0,0,1,0,0
Carl,m,1931,['Masculine'],"['German', 'Swedish', 'Danish', 'Norwegian', 'English']",0.0061518356419465200,Common,0.49100,0,0,1,0,0
Thomas,m,1931,['Masculine'],"['English', 'French', 'German', 'Dutch', 'Swedish', 'Norwegian', 'Danish', 'Greek', 'Biblical', 'Biblical Latin', 'Biblical Greek']",0.0157483627199321000,Common,0.69700,0,1,1,1,0
Roy,m,1931,['Masculine'],"['Scottish', 'English', 'Dutch']",0.0051291782658198700,Common,0.46200,0,0,1,0,0
Conrad,m,1931,['Masculine'],"['English', 'German', 'Germanic']",0.0005459158205283040,Common,0.14900,0,0,1,0,0
Robert,m,1931,['Masculine'],"['English', 'French', 'Swedish', 'Norwegian', 'Danish', 'German', 'Dutch', 'Finnish', 'Estonian', 'Czech', 'Polish', 'Russian', 'Slovene', 'Croatian', 'Albanian', 'Romanian', 'Catalan', 'Germanic']",0.0565733312643373000,Common,1.00000,0,1,1,0,0
Buddy,m,1931,['Masculine'],['English'],0.0004337413368581040,Common,0.13600,0,0,1,0,0
Salvatore,m,1931,['Masculine'],['Italian'],0.0007160471207614400,Common,0.16900,0,0,0,0,0
Don,m,1931,['Masculine'],['English'],0.0029688846678046100,Common,0.35500,0,0,1,0,0
Joe,m,1931,['Masculine'],['English'],0.0060331176467288900,Common,0.48700,0,0,1,0,0
James,m,1992,['Masculine'],"['English', 'Biblical']",0.0135809703483497000,Common,0.65700,0,0,1,1,0
Caleb,m,1992,['Masculine'],"['English', 'Biblical']",0.0024010976446375400,Common,0.31300,0,0,1,1,0
Jacob,m,1992,['Masculine'],"['English', 'Dutch', 'Swedish', 'Norwegian', 'Danish', 'Jewish', 'Biblical']",0.0122284472901898000,Common,0.62300,0,0,1,1,0
Elliott,m,1992,['Masculine'],['English'],0.0002748875676499730,Common,0.10600,0,0,1,0,0
Cullen,m,1992,['Masculine'],['English'],0.0001395876210076980,Common,0.07900,0,0,1,0,0
David,m,1992,['Masculine'],"['English', 'Hebrew', 'French', 'Scottish', 'Welsh', 'Spanish', 'Portuguese', 'Catalan', 'German', 'Swedish', 'Norwegian', 'Danish', 'Dutch', 'Czech', 'Slovene', 'Russian', 'Croatian', 'Serbian', 'Macedonian', 'Romanian', 'Biblical', 'Biblical Latin']",0.0135380936046954000,Common,0.65700,0,1,1,1,0
Thomas,m,1992,['Masculine'],"['English', 'French', 'German', 'Dutch', 'Swedish', 'Norwegian', 'Danish', 'Greek', 'Biblical', 'Biblical Latin', 'Biblical Greek']",0.0072814238890159300,Common,0.52000,0,1,1,1,0
Raul,m,1992,['Masculine'],"['Portuguese', 'Italian', 'Romanian', 'Estonian']",0.0007088954950834660,Common,0.16700,0,0,0,0,0
